iter	MultiClass
300	1.54875825
301	1.548417579
302	1.548197977
303	1.547872721
304	1.547624166
305	1.547399175
306	1.547217122
307	1.547106127
308	1.546696063
309	1.546496863
310	1.546130326
311	1.545846592
312	1.545679789
313	1.545294229
314	1.544960496
315	1.544776216
316	1.54452788
317	1.544427482
318	1.544181591
319	1.543838201
320	1.543565304
321	1.543178628
322	1.543027611
323	1.542608958
324	1.542328695
325	1.541999777
326	1.541765563
327	1.541625173
328	1.541462094
329	1.541228694
330	1.541042633
331	1.54078276
332	1.540387174
333	1.540218387
334	1.539846294
335	1.539604127
336	1.539337166
337	1.539032877
338	1.53872831
339	1.538472126
340	1.538159907
341	1.537938696
342	1.537743323
343	1.537696267
344	1.537404022
345	1.537135175
346	1.53693191
347	1.536790435
348	1.536447358
349	1.535939239
350	1.535828601
351	1.535565058
352	1.535243123
353	1.535021078
354	1.534661113
355	1.534211087
356	1.533960544
357	1.533807067
358	1.533301903
359	1.53298379
360	1.532852914
361	1.532647196
362	1.532479295
363	1.532163955
364	1.532018813
365	1.531647927
366	1.531485013
367	1.531234421
368	1.530898991
369	1.530588818
370	1.530231463
371	1.529908064
372	1.529517661
373	1.529268167
374	1.529099002
375	1.528836639
376	1.528603361
377	1.52826024
378	1.527994829
379	1.527762436
380	1.527551885
381	1.527439427
382	1.527167825
383	1.526872574
384	1.526749216
385	1.526396642
386	1.52612845
387	1.525927728
388	1.525689516
389	1.525567684
390	1.52528146
391	1.525035148
392	1.524812696
393	1.524703448
394	1.524251859
395	1.523972512
396	1.523649954
397	1.52347925
398	1.523283825
399	1.522987269
400	1.522772684
401	1.522616363
402	1.522319406
403	1.522005145
404	1.521829211
405	1.521612699
406	1.52136589
407	1.521208212
408	1.520906116
409	1.520708053
410	1.520413318
411	1.520247153
412	1.520116322
413	1.519838437
414	1.519425875
415	1.519195031
416	1.518933755
417	1.518783269
418	1.518576381
419	1.518421031
420	1.518287897
421	1.518060514
422	1.51782207
423	1.517526085
424	1.517305603
425	1.517116381
426	1.516768181
427	1.516543115
428	1.516333201
429	1.516125931
430	1.515868425
431	1.515710381
432	1.515524509
433	1.515355031
434	1.515121113
435	1.514875452
436	1.514770444
437	1.514600219
438	1.514393367
439	1.514078667
440	1.513730354
441	1.51348903
442	1.51334708
443	1.513070943
444	1.512997841
445	1.512773566
446	1.51253468
447	1.512335612
448	1.512091582
449	1.511991439
450	1.511848174
451	1.51157616
452	1.511421065
453	1.511203087
454	1.511015868
455	1.510787343
456	1.510567243
457	1.510320376
458	1.510125647
459	1.509914123
460	1.509757309
461	1.509594393
462	1.509359481
463	1.509083962
464	1.508832235
465	1.50851113
466	1.508303389
467	1.508093386
468	1.507908495
469	1.507742792
470	1.507479079
471	1.507322426
472	1.507072479
473	1.506851136
474	1.506626215
475	1.506418986
476	1.506236934
477	1.506007227
478	1.505757659
479	1.505471181
480	1.50523704
481	1.505124498
482	1.504865244
483	1.504679113
484	1.504296479
485	1.504070894
486	1.503819859
487	1.503538763
488	1.50332659
489	1.503016703
490	1.502803415
491	1.502591029
492	1.502358678
493	1.502067324
494	1.50183947
495	1.501593902
496	1.501391586
497	1.501149625
498	1.501025641
499	1.500736722
500	1.500449852
501	1.500381689
502	1.500151842
503	1.499923358
504	1.499802052
505	1.499538918
506	1.499241327
507	1.4991161
508	1.499015905
509	1.498858189
510	1.498503518
511	1.49838166
512	1.498139856
513	1.4977893
514	1.497476971
515	1.497359502
516	1.497240433
517	1.497094416
518	1.496921967
519	1.496673081
520	1.496404517
521	1.4961901
522	1.495877074
523	1.495655842
524	1.49545756
525	1.495193795
526	1.494868673
527	1.494669479
528	1.494444329
529	1.494180267
530	1.493840863
531	1.493654365
532	1.49346023
533	1.493105857
534	1.492770229
535	1.492517418
536	1.49228997
537	1.492116427
538	1.491894646
539	1.491748435
540	1.49144964
541	1.491084554
542	1.490736625
543	1.490535011
544	1.490335388
545	1.490094901
546	1.489904609
547	1.489842115
548	1.489786086
549	1.489567625
550	1.489443025
551	1.489164267
552	1.488867494
553	1.488606127
554	1.488513195
555	1.488265132
556	1.488063937
557	1.487919742
558	1.487688144
559	1.487536381
560	1.487266252
561	1.48700181
562	1.486550174
563	1.486409485
564	1.486142999
565	1.485897425
566	1.485768488
567	1.485430271
568	1.485291196
569	1.485098457
570	1.484802029
571	1.484619405
572	1.484470715
573	1.484110206
574	1.484001354
575	1.48385161
576	1.483659663
577	1.483458439
578	1.483316122
579	1.483021303
580	1.482762388
581	1.48255285
582	1.482380732
583	1.482073866
584	1.481835089
585	1.481636858
586	1.481446845
587	1.481128318
588	1.481034705
589	1.480809491
590	1.480750401
591	1.4805623
592	1.480275802
593	1.480097567
594	1.479924369
595	1.479695336
596	1.479511662
597	1.479363364
598	1.479123752
599	1.478888382
600	1.478608958
601	1.478482235
602	1.478257413
603	1.478043541
604	1.477611827
605	1.477402366
606	1.477163927
607	1.476946692
608	1.476710026
609	1.476536528
610	1.47632704
611	1.476241912
612	1.475945689
613	1.475694664
614	1.475470466
615	1.475236292
616	1.47506046
617	1.474815927
618	1.474712171
619	1.474461173
620	1.474315248
621	1.474087035
622	1.473846351
623	1.473589321
624	1.47329454
625	1.473105327
626	1.47291801
627	1.472598412
628	1.472397947
629	1.472198192
630	1.472108607
631	1.471902566
632	1.471678802
633	1.471415664
634	1.471118801
635	1.470823637
636	1.470611488
637	1.470420845
638	1.470283737
639	1.470144878
640	1.469979906
641	1.469696821
642	1.469422246
643	1.46930184
644	1.469104143
645	1.4690306
646	1.468831782
647	1.468741613
648	1.468574903
649	1.468286238
650	1.468064202
651	1.467844617
652	1.467689115
653	1.46747257
654	1.467185724
655	1.467002383
656	1.466792264
657	1.466591866
658	1.466422409
659	1.466304352
660	1.466170601
661	1.466022298
662	1.465824075
663	1.465650117
664	1.465454994
665	1.465246917
666	1.46494746
667	1.464683556
668	1.464488569
669	1.464421837
670	1.464198396
671	1.464002064
672	1.463712157
673	1.463479207
674	1.463093061
675	1.462927138
676	1.462746369
677	1.462469854
678	1.462332137
679	1.462212876
680	1.462073904
681	1.461838763
682	1.461619206
683	1.461431558
684	1.461253874
685	1.461025121
686	1.460834635
687	1.46066646
688	1.460558484
689	1.460273999
690	1.46008038
691	1.45980852
692	1.459594074
693	1.459297134
694	1.459079753
695	1.458888851
696	1.458660738
697	1.45848365
698	1.458216997
699	1.458018382
700	1.457791647
701	1.45760219
702	1.457499756
703	1.457306156
704	1.45707396
705	1.456789105
706	1.456683205
707	1.456494889
708	1.456343374
709	1.456013821
710	1.455906135
711	1.45569789
712	1.455424817
713	1.455343794
714	1.455021265
715	1.454895238
716	1.454791124
717	1.454555164
718	1.454315168
719	1.454067063
720	1.454027811
721	1.453926479
722	1.453678961
723	1.453425084
724	1.453269293
725	1.453134565
726	1.452890748
727	1.452689373
728	1.452435336
729	1.452279889
730	1.452077106
731	1.451986346
732	1.451916283
733	1.451628417
734	1.451470185
735	1.451243421
736	1.451100683
737	1.450820559
738	1.450522035
739	1.450309804
740	1.450154247
741	1.449851128
742	1.449644621
743	1.449494727
744	1.449364379
745	1.44914621
746	1.448989308
747	1.448771672
748	1.448590501
749	1.448355439
750	1.448151319
751	1.447979405
752	1.447793092
753	1.447557809
754	1.447333116
755	1.447088046
756	1.44690347
757	1.446686464
758	1.446464196
759	1.446228633
760	1.446040854
761	1.445906077
762	1.445710926
763	1.445479258
764	1.445281777
765	1.445135762
766	1.444936126
767	1.4447931
768	1.444678456
769	1.444513007
770	1.444230573
771	1.444074078
772	1.443939468
773	1.443706167
774	1.443495214
775	1.443242013
776	1.443080453
777	1.44294267
778	1.442812979
779	1.442586538
780	1.442404375
781	1.442159172
782	1.44208255
783	1.441728782
784	1.44155393
785	1.441457594
786	1.441177646
787	1.441077526
788	1.440866536
789	1.440714702
790	1.440547032
791	1.440474576
792	1.440296996
793	1.4401101
794	1.43990225
795	1.439708951
796	1.439546013
797	1.4393691
798	1.439068067
799	1.43899705
800	1.438880244
801	1.438725587
802	1.438576735
803	1.438331695
804	1.438059353
805	1.437878707
806	1.437611394
807	1.437473156
808	1.437321532
809	1.437152876
810	1.43698942
811	1.436802202
812	1.436568719
813	1.436322764
814	1.436152091
815	1.436016141
816	1.435748067
817	1.435551113
818	1.435373782
819	1.435187625
820	1.43498731
821	1.434840891
822	1.434655347
823	1.434397404
824	1.434286004
825	1.434178911
826	1.433939841
827	1.433801512
828	1.433593674
829	1.433365575
830	1.433159366
831	1.432972113
832	1.432819543
833	1.432686849
834	1.432573791
835	1.432481845
836	1.432329912
837	1.432138451
838	1.431958899
839	1.431784325
840	1.431550509
841	1.431419992
842	1.431221314
843	1.431086907
844	1.430925235
845	1.430736274
846	1.430573643
847	1.430399903
848	1.430218794
849	1.429989801
850	1.429799897
851	1.429583963
852	1.429250195
853	1.429053997
854	1.428986346
855	1.428823947
856	1.428658409
857	1.428483742
858	1.428303156
859	1.428127704
860	1.427987708
861	1.427872248
862	1.427693597
863	1.4274807
864	1.427353096
865	1.427208515
866	1.427064355
867	1.426875048
868	1.426643804
869	1.426378981
870	1.426179577
871	1.425950804
872	1.425841066
873	1.425718557
874	1.425586771
875	1.425402544
876	1.425161713
877	1.425023857
878	1.424842872
879	1.424655042
880	1.424452831
881	1.424325238
882	1.424211647
883	1.424064531
884	1.423875005
885	1.42371457
886	1.423496905
887	1.423302368
888	1.423091023
889	1.422963821
890	1.422776014
891	1.422653674
892	1.42249981
893	1.422339643
894	1.422109795
895	1.421954212
896	1.421769271
897	1.421591766
898	1.421465471
899	1.42122597
900	1.420930968
901	1.420763758
902	1.420531192
903	1.420266158
904	1.420082209
905	1.420006599
906	1.419773555
907	1.419527053
908	1.419341633
909	1.419194662
910	1.419134764
911	1.419002433
912	1.418749907
913	1.418516979
914	1.418353884
915	1.418161467
916	1.417915611
917	1.417719597
918	1.417534687
919	1.417437446
920	1.41724277
921	1.417104387
922	1.416956359
923	1.416861251
924	1.416713179
925	1.416463157
926	1.41632634
927	1.416144635
928	1.415934124
929	1.415746309
930	1.415558515
931	1.415409958
932	1.41520015
933	1.414895576
934	1.414711454
935	1.414652273
936	1.414510174
937	1.414272086
938	1.414144101
939	1.413959152
940	1.413864099
941	1.413617247
942	1.413342049
943	1.41318443
944	1.41299012
945	1.412725556
946	1.412577007
947	1.412416536
948	1.412166202
949	1.41185007
950	1.411684681
951	1.411555578
952	1.411304801
953	1.411053359
954	1.410847282
955	1.410600117
956	1.410255642
957	1.41014623
958	1.409950469
959	1.409782803
960	1.409683082
961	1.409568599
962	1.409299846
963	1.409155076
964	1.408955194
965	1.408834313
966	1.408666454
967	1.408491775
968	1.40833197
969	1.408179714
970	1.407934044
971	1.407655853
972	1.407466058
973	1.407232877
974	1.40703447
975	1.406898261
976	1.406706729
977	1.406546751
978	1.406344825
979	1.406168606
980	1.405966441
981	1.405825344
982	1.405703259
983	1.405512578
984	1.405331732
985	1.405141273
986	1.404985222
987	1.404696496
988	1.40459176
989	1.404445988
990	1.404286754
991	1.404102628
992	1.403888615
993	1.403670253
994	1.403446782
995	1.403283635
996	1.402999429
997	1.40288889
998	1.402741391
999	1.402598361
